Obs,Name,Gender,Fixed,Color,Heritage,Age,Weight
215,Penny,Female,Yes,No primary color,Single breed,1,25
216,Blue Beetle,Male,Yes,No primary color,Single breed,1,25
217,Jagger,Male,Yes,Dark brown,Single breed,7,80
218,Magnolia,Female,Yes,Yellow/blond,Single breed,3,85
219,Nari,Male,Yes,Reddish,Mixed breed/unknown,11.75,40
220,Calu,Male,Yes,Black,Mixed breed/unknown,2.6,70
221,Scout,Female,Yes,Light brown,"Designer/deliberate mix (e.g., labradoodles)",6,20
222,Casey ,Female,Yes,Reddish,Mixed breed/unknown,16,19.36
223,Rowan,Female,Yes,White,Single breed,15,40
224,Sienna,Female,Yes,Dark brown,Single breed,10,72
225,Belly,Female,Yes,Dark brown,Single breed,11,80
226,Friday ,Female,Yes,Black,Mixed breed/unknown,3,48
227,Umber,Female,Yes,Dark brown,Single breed,1.5,42
228,Mitzvah,Female,Yes,White,Mixed breed/unknown,14,15
229,Freya,Female,No,Yellow/blond,Single breed,0.5,85
230,Chaya,Female,Yes,White,Single breed,10,12.5
231,Molly,Female,Yes,Yellow/blond,Single breed,11,110
232,Maggie,Female,Yes,White,Single breed,13,18
233,Max,Male,Yes,Black,Single breed,11,25
234,Dylan,Male,Yes,Black,Single breed,9,75
235,Mikey,Male,Yes,No primary color,Mixed breed/unknown,4,50
236,Miss Abigail’s sunshine,Female,Yes,Light brown,Single breed,12,90
237,Miya,Female,Yes,Black,Mixed breed/unknown,10,40
238,Lena,Female,Yes,Dark brown,Mixed breed/unknown,4,20
239,Roxy,Female,Yes,Light brown,Mixed breed/unknown,14,30
240,Bella,Female,Yes,Other,Mixed breed/unknown,2,50
241,Nikita,Female,Yes,Light brown,Mixed breed/unknown,3,50
242,Velvet,Female,Yes,Black,Mixed breed/unknown,16,30
243,Buster,Male,Yes,Dark brown,Mixed breed/unknown,11,178
244,Bella,Female,Yes,Light brown,Mixed breed/unknown,2,65
245,Akira,Female,Yes,White,Mixed breed/unknown,3,20
246,Quinn,Female,Yes,Black,Mixed breed/unknown,12,45
247,Hunter,Male,Yes,No primary color,Mixed breed/unknown,15,42
248,Nutmeg,Female,Yes,White,Mixed breed/unknown,7,40
249,Addie Mae,Female,Yes,Black,Mixed breed/unknown,3,50
250,Leo,Male,Yes,White,Mixed breed/unknown,2.5,18
251,Bessie,Female,Yes,Yellow/blond,Single breed,13,65
252,Sherlock,Female,Yes,Black,Mixed breed/unknown,3,50
253,Eva,Female,Yes,Reddish,Mixed breed/unknown,14,70
254,Nalla,Female,Yes,White,Single breed,10,96
255,Lady,Female,Yes,Black,Single breed,1,70
256,Ella,Female,Yes,Black,Mixed breed/unknown,6,64
257,Charlie ,Male,Yes,Light brown,"Designer/deliberate mix (e.g., labradoodles)",2,15.4
258,Nimble,Male,Yes,White,Single breed,10,11
259,,Male,Yes,Light brown,Single breed,2,30
260,Max,Male,Yes,Light brown,Single breed,2,30
261,Nina,Female,Yes,Reddish,Mixed breed/unknown,1,40
262,Shelley,Female,Yes,Other,"Designer/deliberate mix (e.g., labradoodles)",8,45
263,Maggie,Female,Yes,White,Mixed breed/unknown,12,22
264,Bailey,Male,No,Reddish,"Designer/deliberate mix (e.g., labradoodles)",0.42,28
265,Korra,Female,Yes,White,Mixed breed/unknown,4,50
266,Zeus,Male,Yes,Black,Mixed breed/unknown,4,75
267,Finnick ,Male,Yes,Dark brown,Mixed breed/unknown,3.5,75
268,Homer,Male,Yes,Black,Mixed breed/unknown,13,35
269,Oliver,Male,Yes,Black,Mixed breed/unknown,5,52
