"","Player","POS","Team","Age","GP","W","L","Min","PTS"
"412","Jake LaRavia","F","MEM",21,35,22,13,414.3,105
"413","Boban Marjanovic","C","HOU",34,31,7,24,171.1,102
"414","Gary Payton II","SG","GSW",30,22,13,9,367.6,101
"415","Kessler Edwards","SF","SAC",22,36,17,19,385.8,100
"416","Cody Zeller","C","MIA",30,15,6,9,216.6,98
"417","Jamal Cain","F","MIA",24,18,10,8,240,98
"418","Theo Pinson","G","DAL",27,40,19,21,323,95
"419","Skylar Mays","SG","POR",25,6,1,5,188.8,92
"420","Bryn Forbes","SG","MIN",29,25,9,16,267.7,89
"421","Davon Reed","SG","LAL",27,43,29,14,342.5,89
"422","Frank Kaminsky","PF","HOU",30,36,13,23,234.9,89
